release_date,time,actual,forcast,previous,year_,month_
16-Jul-10,17:00,-0.10%,0.10%,-0.20%,2010,6
17-Jun-10,17:00,-0.20%,-0.20%,-0.10%,2010,5
19-May-10,17:00,-0.10%,0.20%,0.10%,2010,4
14-Apr-10,17:00,0.10%,0.10%,0.00%,2010,3
18-Mar-10,17:00,0.00%,0.10%,0.20%,2010,2
19-Feb-10,18:00,0.20%,0.30%,0.20%,2010,1
15-Jan-10,18:00,0.10%,0.20%,0.40%,2009,12
16-Dec-09,18:00,0.40%,0.40%,0.30%,2009,11
18-Nov-09,18:00,0.30%,0.20%,0.20%,2009,10
15-Oct-09,17:00,0.20%,0.20%,0.40%,2009,9
16-Sep-09,17:00,0.40%,0.40%,0.00%,2009,8
14-Aug-09,17:00,0.00%,0.00%,0.70%,2009,7
15-Jul-09,17:00,0.70%,0.60%,0.10%,2009,6
17-Jun-09,17:00,0.10%,0.30%,0.00%,2009,5
15-May-09,17:00,0.00%,0.00%,-0.10%,2009,4
15-Apr-09,17:00,-0.10%,0.10%,0.40%,2009,3
18-Mar-09,17:00,0.40%,0.30%,0.30%,2009,2
20-Feb-09,18:00,0.30%,0.20%,-0.70%,2009,1
16-Jan-09,18:00,-0.70%,-0.90%,-1.70%,2008,12
16-Dec-08,18:00,-1.70%,-1.20%,-1.00%,2008,11
19-Nov-08,18:00,-1.00%,-0.80%,0.00%,2008,10
16-Oct-08,17:00,0.00%,0.00%,-0.10%,2008,9
16-Sep-08,17:00,-0.10%,0.00%,0.80%,2008,8
14-Aug-08,17:00,0.80%,0.40%,1.10%,2008,7
16-Jul-08,17:00,1.10%,0.70%,0.60%,2008,6
13-Jun-08,17:00,0.60%,0.50%,0.20%,2008,5
14-May-08,18:00,0.20%,0.30%,0.30%,2008,4
16-Apr-08,17:00,0.30%,0.30%,0.00%,2008,3
14-Mar-08,17:00,0.00%,0.30%,0.40%,2008,2
"Feb 01, 2008 (Jan)",13:30,0.30%, ,0.30%,2008,1
"Jan 01, 2008 (Dec)",13:30,0.30%, ,0.80%,2007,12
"Dec 01, 2007 (Nov)",13:30,0.80%, ,0.30%,2007,11
"Nov 01, 2007 (Oct)",13:30,0.30%, ,0.40%,2007,10
"Oct 01, 2007 (Sep)",13:30,0.40%, ,0.00%,2007,9
"Sep 01, 2007 (Aug)",13:30,0.00%, ,0.20%,2007,8
"Aug 01, 2007 (Jul)",13:30,0.20%, ,0.20%,2007,7
"Jul 01, 2007 (Jun)",13:30,0.20%, ,0.40%,2007,6
"Jun 01, 2007 (May)",13:30,0.40%, ,0.30%,2007,5
"May 01, 2007 (Apr)",13:30,0.30%, ,0.50%,2007,4
"Apr 01, 2007 (Mar)",13:30,0.50%, ,0.40%,2007,3
"Mar 01, 2007 (Feb)",13:30,0.40%, ,0.20%,2007,2
"Feb 01, 2007 (Jan)",13:30,0.20%, ,0.50%,2007,1
"Jan 01, 2007 (Dec)",13:30,0.50%, ,0.00%,2006,12
"Dec 01, 2006 (Nov)",13:30,0.00%, ,-0.40%,2006,11
"Nov 01, 2006 (Oct)",13:30,-0.40%, ,-0.50%,2006,10
"Oct 01, 2006 (Sep)",13:30,-0.50%, ,0.40%,2006,9
"Sep 01, 2006 (Aug)",13:30,0.40%, ,0.50%,2006,8
"Aug 01, 2006 (Jul)",13:30,0.50%, ,0.20%,2006,7
"Jul 01, 2006 (Jun)",13:30,0.20%, ,0.30%,2006,6
"Jun 01, 2006 (May)",13:30,0.30%, ,0.50%,2006,5
"May 01, 2006 (Apr)",13:30,0.50%, ,0.20%,2006,4
"Apr 01, 2006 (Mar)",13:30,0.20%, ,0.10%,2006,3
"Mar 01, 2006 (Feb)",13:30,0.10%, ,0.60%,2006,2
"Feb 01, 2006 (Jan)",13:30,0.60%, ,0.00%,2006,1
"Jan 01, 2006 (Dec)",13:30,0.00%, ,-0.50%,2005,12
"Dec 01, 2005 (Nov)",13:30,-0.50%, ,0.20%,2005,11
"Nov 01, 2005 (Oct)",13:30,0.20%, ,1.40%,2005,10
"Oct 01, 2005 (Sep)",13:30,1.40%, ,0.60%,2005,9
"Sep 01, 2005 (Aug)",13:30,0.60%, ,0.60%,2005,8
